id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,combined,predicted_emotion,predicted_intensity,suggested_action,when_to_do
10001,woke up feeling more organized mentally. i was more tired than i thought.,cafe,4,8.5,3,1,night,mixed,happy_face,vague,woke up feeling more organized mentally. i was more tired than i thought. cafe night mixed happy_face vague,focused,2.91,Stay mindful,Flexible
10002,started off distracted most of the time. this was better than yesterday.,mountain,4,8.5,1,2,afternoon,mixed,happy_face,clear,started off distracted most of the time. this was better than yesterday. mountain afternoon mixed happy_face clear,restless,3.49,Stay mindful,Flexible
10003,kinda calm ...,cafe,15,8.5,2,5,evening,calm,happy_face,vague,kinda calm ... cafe evening calm happy_face vague,focused,3.08,Stay mindful,Flexible
10004,after the session i felt able to think straight. my breathing slowed for a moment.,ocean,7,7.0,2,3,morning,overwhelmed,none,clear,after the session i felt able to think straight. my breathing slowed for a moment. ocean morning overwhelmed none clear,focused,3.16,Stay mindful,Flexible
10005,lowkey felt pretty grounded. i had to restart once. ...,ocean,20,8.5,1,5,afternoon,calm,tired_face,vague,lowkey felt pretty grounded. i had to restart once. ... ocean afternoon calm tired_face vague,neutral,3.16,Stay mindful,Flexible
10006,"today i was a little better and a little off, but sleep probably affected it.",rain,4,3.5,4,2,morning,neutral,tired_face,clear,"today i was a little better and a little off, but sleep probably affected it. rain morning neutral tired_face clear",mixed,3.35,Stay mindful,Flexible
10007,lowkey felt unable to stay with one thought. mountain visuals made it easier to pause.,rain,25,8.0,2,3,night,calm,neutral_face,clear,lowkey felt unable to stay with one thought. mountain visuals made it easier to pause. rain night calm neutral_face clear,restless,3.54,Stay mindful,Flexible
10008,ended up like everything piled up. then my mind wandered again. then it faded again.,forest,10,8.5,2,4,afternoon,mixed,,clear,ended up like everything piled up. then my mind wandered again. then it faded again. forest afternoon mixed  clear,overwhelmed,3.13,Stay mindful,Flexible
10009,"for a while i was itchy in my head, but ocean audio was nice.",rain,4,8.5,4,4,evening,overwhelmed,tense_face,conflicted,"for a while i was itchy in my head, but ocean audio was nice. rain evening overwhelmed tense_face conflicted",restless,2.94,Stay mindful,Flexible
10010,for a while i was more tired than i expected. the rain helped a little. after that i could continue.,forest,12,3.5,4,2,night,neutral,,clear,for a while i was more tired than i expected. the rain helped a little. after that i could continue. forest night neutral  clear,overwhelmed,3.3,Stay mindful,Flexible
10011,"started off like everything piled up, but forest sounds worked for a bit. ...",ocean,30,5.0,2,3,morning,neutral,calm_face,clear,"started off like everything piled up, but forest sounds worked for a bit. ... ocean morning neutral calm_face clear",overwhelmed,2.95,Stay mindful,Flexible
10012,ok session,rain,20,7.0,2,3,afternoon,neutral,calm_face,conflicted,ok session rain afternoon neutral calm_face conflicted,mixed,2.43,Stay mindful,Flexible
10013,actually helped,ocean,25,7.0,4,3,afternoon,mixed,none,clear,actually helped ocean afternoon mixed none clear,neutral,3.45,Stay mindful,Flexible
10014,woke up feeling actually able to focus. then my mind wandered again. still not fully there though. ...,mountain,4,5.0,2,4,afternoon,restless,happy_face,vague,woke up feeling actually able to focus. then my mind wandered again. still not fully there though. ... mountain afternoon restless happy_face vague,focused,3.23,Stay mindful,Flexible
10015,started off surprisingly okay. i couldn't tell if it was helping at first.,cafe,20,4.0,4,1,morning,mixed,tired_face,clear,started off surprisingly okay. i couldn't tell if it was helping at first. cafe morning mixed tired_face clear,calm,3.27,Stay mindful,Flexible
10016,"lowkey felt just normal, but it took time to click.",cafe,35,6.0,4,2,evening,,,vague,"lowkey felt just normal, but it took time to click. cafe evening   vague",neutral,4.24,Stay mindful,Flexible
10017,by the end i was split between calm and tension. cafe ambience weirdly helped. after that i could continue.,mountain,35,8.0,1,2,morning,focused,neutral_face,conflicted,by the end i was split between calm and tension. cafe ambience weirdly helped. after that i could continue. mountain morning focused neutral_face conflicted,mixed,3.64,Stay mindful,Flexible
10018,"not gonna lie i felt calmer on the surface but still busy underneath, but this was better than yesterday. ...",ocean,30,5.0,3,5,evening,focused,calm_face,clear,"not gonna lie i felt calmer on the surface but still busy underneath, but this was better than yesterday. ... ocean evening focused calm_face clear",mixed,2.69,Stay mindful,Flexible
10019,"started off ready to start work, but teh rain helped a little.",ocean,30,7.0,4,1,afternoon,focused,calm_face,vague,"started off ready to start work, but teh rain helped a little. ocean afternoon focused calm_face vague",focused,2.48,Stay mindful,Flexible
10020,still off,forest,7,8.5,1,2,evening,overwhelmed,calm_face,conflicted,still off forest evening overwhelmed calm_face conflicted,calm,3.31,Stay mindful,Flexible
